Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -273.4708    -273.4708       0.0000     0.0
0.0100        -273.3848    -274.3356       0.9507   175.1
0.0200        -273.3365    -274.5142       1.1777   216.9
0.0300        -273.2929    -274.6255       1.3326   245.5
0.0400        -273.2514    -274.4920       1.2406   228.5
0.0500        -273.2197    -274.5904       1.3707   252.5
0.0600        -273.1897    -274.6072       1.4175   261.1
0.0700        -273.1634    -274.4227       1.2593   232.0
0.0800        -273.1296    -274.5102       1.3806   254.3
0.0900        -273.0994    -274.4343       1.3350   245.9
0.1000        -273.0797    -274.4471       1.3674   251.9
0.1100        -273.0621    -274.4785       1.4163   260.9
0.1200        -273.0358    -274.4104       1.3746   253.2
0.1300        -273.0205    -274.4523       1.4318   263.7
0.1400        -272.9979    -274.3638       1.3659   251.6
0.1500        -272.9674    -274.3435       1.3762   253.5
0.1600        -272.9246    -274.0358       1.1112   204.7
0.1700        -272.8855    -274.2115       1.3260   244.2
0.1800        -272.8593    -274.3393       1.4800   272.6
0.1900        -272.8341    -274.2554       1.4213   261.8
0.2000        -272.8197    -274.3908       1.5711   289.4
0.2100        -272.8104    -274.2163       1.4060   259.0
0.2200        -272.7978    -274.4120       1.6142   297.3
0.2300        -272.7756    -274.1669       1.3913   256.3
0.2400        -272.7664    -274.2033       1.4369   264.7
0.2500        -272.7475    -274.3163       1.5688   289.0
0.2600        -272.7433    -274.1729       1.4297   263.3
0.2700        -272.7132    -274.2016       1.4885   274.2
0.2800        -272.7074    -274.2753       1.5679   288.8
0.2900        -272.6957    -274.2511       1.5554   286.5
0.3000        -272.6948    -274.1862       1.4914   274.7
0.3100        -272.6794    -274.1904       1.5110   278.3
0.3200        -272.6780    -274.3471       1.6692   307.5
0.3300        -272.6565    -274.0166       1.3602   250.5
0.3400        -272.6547    -274.3176       1.6629   306.3
0.3500        -272.6512    -274.2270       1.5758   290.3
0.3600        -272.6715    -274.5990       1.9276   355.1
0.3700        -272.6632    -274.1754       1.5122   278.5
0.3800        -272.6635    -274.2422       1.5787   290.8
0.3900        -272.6383    -274.1508       1.5125   278.6
0.4000        -272.6451    -274.2943       1.6492   303.8
0.4100        -272.6428    -274.2331       1.5904   292.9
0.4200        -272.6415    -274.1378       1.4963   275.6
0.4300        -272.6311    -274.1794       1.5483   285.2
0.4400        -272.6183    -273.9031       1.2848   236.7
0.4500        -272.6040    -274.0814       1.4773   272.1
0.4600        -272.6022    -274.1281       1.5259   281.1
0.4700        -272.6025    -274.1586       1.5561   286.6
0.4800        -272.5787    -274.0282       1.4495   267.0
0.4900        -272.5717    -274.1924       1.6207   298.5
0.5000        -272.5705    -274.2227       1.6522   304.3
0.5100        -272.5708    -274.1881       1.6173   297.9
0.5200        -272.5535    -274.2233       1.6698   307.6
0.5300        -272.5648    -274.2319       1.6671   307.1
0.5400        -272.5562    -274.1118       1.5557   286.6
0.5500        -272.5514    -274.2865       1.7351   319.6
0.5600        -272.5485    -274.1146       1.5661   288.5
0.5700        -272.5409    -273.9820       1.4411   265.5
0.5800        -272.5347    -274.0190       1.4842   273.4
0.5900        -272.5353    -274.0027       1.4674   270.3
0.6000        -272.5267    -274.1992       1.6725   308.1
0.6100        -272.5208    -273.9478       1.4271   262.9
0.6200        -272.5333    -274.5031       1.9698   362.8
0.6300        -272.5386    -274.0288       1.4902   274.5
0.6400        -272.5453    -274.3352       1.7899   329.7
0.6500        -272.5424    -274.0322       1.4898   274.4
0.6600        -272.5504    -274.3114       1.7610   324.4
0.6700        -272.5437    -274.0439       1.5002   276.3
0.6800        -272.5472    -274.1456       1.5984   294.4
0.6900        -272.5293    -273.8824       1.3531   249.2
0.7000        -272.5256    -274.2337       1.7081   314.6
0.7100        -272.5391    -274.1959       1.6568   305.2
0.7200        -272.5437    -274.2684       1.7247   317.7
0.7300        -272.5306    -274.0165       1.4860   273.7
0.7400        -272.5240    -274.1677       1.6437   302.8
0.7500        -272.5246    -274.0652       1.5406   283.8
0.7600        -272.5150    -274.0011       1.4861   273.7
0.7700        -272.4906    -274.0322       1.5416   284.0
0.7800        -272.4831    -273.9934       1.5103   278.2
0.7900        -272.4786    -274.0918       1.6132   297.1
0.8000        -272.4895    -274.0368       1.5473   285.0
0.8100        -272.4956    -274.2231       1.7275   318.2
0.8200        -272.4853    -274.0897       1.6044   295.5
0.8300        -272.4906    -274.2816       1.7911   329.9
0.8400        -272.5239    -274.4106       1.8868   347.5
0.8500        -272.5482    -274.3521       1.8039   332.3
0.8600        -272.5411    -273.9745       1.4334   264.0
0.8700        -272.5414    -274.1180       1.5766   290.4
0.8800        -272.5510    -274.3375       1.7865   329.1
0.8900        -272.5429    -274.1480       1.6051   295.6
0.9000        -272.5288    -274.0699       1.5411   283.9
0.9100        -272.5045    -274.0001       1.4956   275.5
0.9200        -272.5165    -274.1937       1.6772   308.9
0.9300        -272.5391    -274.4257       1.8866   347.5
0.9400        -272.5436    -274.3735       1.8300   337.1
0.9500        -272.5482    -274.2111       1.6629   306.3
0.9600        -272.5559    -274.2205       1.6646   306.6
0.9700        -272.5465    -274.0662       1.5197   279.9
0.9800        -272.5214    -273.8665       1.3451   247.8
0.9900        -272.4938    -274.0229       1.5290   281.6
1.0000        -272.4833    -274.0480       1.5647   288.2
1.0100        -272.4836    -274.0001       1.5165   279.3
1.0200        -272.4828    -274.1943       1.7116   315.3
1.0300        -272.4771    -273.9441       1.4670   270.2
1.0400        -272.4736    -274.1009       1.6273   299.8
1.0500        -272.4729    -274.2167       1.7438   321.2
1.0600        -272.4851    -274.2617       1.7766   327.2
1.0700        -272.4884    -273.9264       1.4379   264.9
1.0800        -272.4769    -274.0113       1.5344   282.6
1.0900        -272.4690    -273.8878       1.4189   261.4
1.1000        -272.4685    -274.0710       1.6024   295.2
1.1100        -272.4552    -273.9073       1.4521   267.5
1.1200        -272.4258    -273.8527       1.4269   262.8
1.1300        -272.4404    -274.2745       1.8341   337.8
1.1400        -272.4704    -274.3971       1.9266   354.9
1.1500        -272.4960    -274.1954       1.6994   313.0
1.1600        -272.4851    -274.1410       1.6560   305.0
1.1700        -272.4846    -274.1476       1.6631   306.3
1.1800        -272.4978    -274.3241       1.8263   336.4
1.1900        -272.5271    -274.2076       1.6805   309.5
1.2000        -272.5358    -274.5210       1.9852   365.7
1.2100        -272.5547    -274.4149       1.8603   342.7
1.2200        -272.5706    -274.1394       1.5689   289.0
1.2300        -272.5625    -274.0728       1.5102   278.2
1.2400        -272.5497    -274.1105       1.5609   287.5
1.2500        -272.5549    -274.3410       1.7860   329.0
1.2600        -272.5661    -274.0734       1.5072   277.6
1.2700        -272.5674    -274.2285       1.6611   306.0
1.2800        -272.5657    -274.1827       1.6170   297.9
1.2900        -272.5768    -274.4572       1.8804   346.4
1.3000        -272.5923    -274.2487       1.6564   305.1
1.3100        -272.5794    -274.0652       1.4858   273.7
1.3200        -272.5603    -274.0925       1.5322   282.2
1.3300        -272.5543    -274.0630       1.5087   277.9
1.3400        -272.5280    -274.0635       1.5355   282.8
1.3500        -272.5403    -274.2943       1.7541   323.1
1.3600        -272.5520    -274.3353       1.7832   328.5
1.3700        -272.5521    -274.0735       1.5215   280.3
1.3800        -272.5244    -273.9374       1.4130   260.3
1.3900        -272.5282    -274.2564       1.7282   318.3
1.4000        -272.5381    -274.1166       1.5785   290.8
1.4100        -272.5472    -274.0449       1.4977   275.9
1.4200        -272.5366    -274.2690       1.7324   319.1
1.4300        -272.5384    -274.1685       1.6300   300.3
1.4400        -272.5364    -274.0563       1.5199   280.0
1.4500        -272.5301    -274.1750       1.6448   303.0
1.4600        -272.5436    -274.1241       1.5805   291.1
1.4700        -272.5414    -274.3080       1.7666   325.4
1.4800        -272.5229    -273.7767       1.2538   230.9
1.4900        -272.5028    -274.0637       1.5609   287.5
1.5000        -272.5126    -274.1482       1.6356   301.3
1.5100        -272.5349    -274.3352       1.8003   331.6
1.5200        -272.5335    -274.1551       1.6216   298.7
1.5300        -272.5253    -274.3327       1.8074   332.9
1.5400        -272.5418    -274.0255       1.4836   273.3
1.5500        -272.5361    -274.1830       1.6469   303.4
1.5600        -272.5241    -274.0350       1.5109   278.3
1.5700        -272.5260    -274.2547       1.7288   318.4
1.5800        -272.5101    -273.9458       1.4357   264.5
1.5900        -272.5102    -274.2323       1.7221   317.2
1.6000        -272.5391    -274.6440       2.1049   387.7
1.6100        -272.5552    -274.2146       1.6593   305.6
1.6200        -272.5654    -274.0571       1.4917   274.8
1.6300        -272.5571    -274.2284       1.6713   307.9
1.6400        -272.5620    -274.1996       1.6375   301.6
1.6500        -272.5452    -273.9725       1.4274   262.9
1.6600        -272.5481    -274.2083       1.6602   305.8
1.6700        -272.5559    -274.1902       1.6343   301.0
1.6800        -272.5622    -274.2046       1.6423   302.5
1.6900        -272.5346    -273.9325       1.3979   257.5
1.7000        -272.5289    -274.5022       1.9733   363.5
1.7100        -272.5701    -274.4659       1.8959   349.2
1.7200        -272.5903    -274.4341       1.8438   339.6
1.7300        -272.5962    -274.3355       1.7392   320.4
1.7400        -272.5923    -274.1953       1.6030   295.3
1.7500        -272.5909    -273.9335       1.3426   247.3
1.7600        -272.5732    -274.0129       1.4397   265.2
