Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
1.0300        -310.2558    -315.4693       5.2135   775.6
1.0400        -310.5771    -315.7682       5.1911   772.3
1.0500        -310.8427    -314.9795       4.1368   615.5
1.0600        -311.0321    -314.8957       3.8636   574.8
1.0700        -311.2532    -315.3567       4.1035   610.5
1.0800        -311.4480    -315.2917       3.8437   571.9
1.0900        -311.6600    -315.5224       3.8624   574.6
1.1000        -311.8590    -315.5327       3.6737   546.6
1.1100        -312.0112    -315.8048       3.7936   564.4
1.1200        -312.1418    -315.7018       3.5600   529.6
1.1300        -312.3087    -315.8244       3.5157   523.1
1.1400        -312.4586    -315.8421       3.3835   503.4
1.1500        -312.5591    -315.9205       3.3615   500.1
1.1600        -312.7045    -316.4172       3.7127   552.4
1.1700        -312.8594    -316.4609       3.6015   535.8
1.1800        -313.0103    -316.2822       3.2719   486.8
1.1900        -313.1035    -316.2675       3.1640   470.7
1.2000        -313.2301    -316.5799       3.3498   498.4
1.2100        -313.3571    -316.8666       3.5095   522.1
1.2200        -313.5219    -317.1306       3.6087   536.9
1.2300        -313.6417    -316.7587       3.1170   463.7
1.2400        -313.7796    -317.0725       3.2929   489.9
1.2500        -313.8897    -317.0713       3.1817   473.4
1.2600        -313.9952    -316.9745       2.9793   443.3
1.2700        -314.0918    -317.0547       2.9628   440.8
1.2800        -314.1850    -317.4984       3.3134   493.0
1.2900        -314.2970    -317.3565       3.0595   455.2
1.3000        -314.4077    -317.3963       2.9886   444.6
1.3100        -314.5212    -317.5901       3.0689   456.6
1.3200        -314.6022    -317.4031       2.8010   416.7
1.3300        -314.6884    -317.2209       2.5324   376.8
1.3400        -314.7555    -317.4091       2.6535   394.8
1.3500        -314.8179    -317.4758       2.6580   395.4
1.3600        -314.9013    -317.6399       2.7387   407.4
1.3700        -314.9658    -317.5346       2.5689   382.2
1.3800        -315.0151    -317.7246       2.7096   403.1
1.3900        -315.0832    -317.6659       2.5827   384.2
1.4000        -315.1022    -317.3317       2.2295   331.7
1.4100        -315.1325    -317.4719       2.3394   348.0
1.4200        -315.1798    -317.4857       2.3059   343.1
1.4300        -315.1871    -317.5519       2.3648   351.8
1.4400        -315.2300    -317.5851       2.3551   350.4
1.4500        -315.2632    -317.6010       2.3378   347.8
1.4600        -315.2718    -317.2930       2.0212   300.7
1.4700        -315.2834    -317.4305       2.1471   319.4
1.4800        -315.3206    -317.6223       2.3017   342.4
1.4900        -315.3593    -317.7748       2.4155   359.4
1.5000        -315.4052    -317.9929       2.5878   385.0
1.5100        -315.4376    -317.8408       2.4032   357.5
1.5200        -315.4829    -317.9232       2.4404   363.1
1.5300        -315.5450    -318.2918       2.7467   408.6
1.5400        -315.6135    -318.2665       2.6530   394.7
1.5500        -315.6355    -317.9598       2.3243   345.8
1.5600        -315.6811    -318.0016       2.3205   345.2
1.5700        -315.7107    -317.8824       2.1717   323.1
1.5800        -315.7437    -318.2475       2.5038   372.5
1.5900        -315.7862    -318.3599       2.5737   382.9
1.6000        -315.8444    -318.3613       2.5169   374.5
1.6100        -315.9028    -318.4178       2.5150   374.2
1.6200        -315.9267    -318.0918       2.1651   322.1
1.6300        -315.9527    -317.9452       1.9925   296.4
1.6400        -315.9463    -318.0559       2.1096   313.9
1.6500        -315.9872    -318.5180       2.5308   376.5
1.6600        -316.0294    -318.3607       2.3312   346.8
1.6700        -316.0779    -318.5644       2.4866   369.9
1.6800        -316.1202    -318.8214       2.7012   401.9
1.6900        -316.1615    -318.2744       2.1128   314.3
1.7000        -316.1510    -318.0907       1.9397   288.6
1.7100        -316.1431    -318.2638       2.1207   315.5
1.7200        -316.1617    -318.3471       2.1854   325.1
1.7300        -316.1840    -318.3965       2.2125   329.2
1.7400        -316.1973    -318.3858       2.1885   325.6
1.7500        -316.2086    -318.2877       2.0790   309.3
1.7600        -316.2157    -318.2385       2.0227   300.9
1.7700        -316.2219    -318.2915       2.0696   307.9
1.7800        -316.2342    -318.5692       2.3350   347.4
1.7900        -316.2630    -318.4387       2.1757   323.7
1.8000        -316.2686    -318.3527       2.0840   310.1
1.8100        -316.2663    -318.3703       2.1040   313.0
1.8200        -316.2786    -318.4764       2.1977   327.0
1.8300        -316.3020    -318.6205       2.3184   344.9
1.8400        -316.3155    -318.6372       2.3217   345.4
1.8500        -316.3407    -318.3285       1.9878   295.7
1.8600        -316.3543    -318.5249       2.1706   322.9
1.8700        -316.3607    -318.4438       2.0831   309.9
1.8800        -316.3658    -318.4484       2.0826   309.8
1.8900        -316.3620    -318.5371       2.1752   323.6
1.9000        -316.3827    -318.5388       2.1561   320.8
1.9100        -316.3809    -318.4325       2.0516   305.2
1.9200        -316.3824    -318.2974       1.9151   284.9
1.9300        -316.3895    -318.3701       1.9805   294.7
1.9400        -316.3787    -318.5158       2.1371   317.9
1.9500        -316.4009    -318.5636       2.1627   321.8
1.9600        -316.4003    -318.2824       1.8822   280.0
1.9700        -316.3932    -318.3277       1.9345   287.8
1.9800        -316.4050    -318.5286       2.1236   315.9
1.9900        -316.4052    -318.3344       1.9291   287.0
2.0000        -316.4124    -318.6276       2.2151   329.6
2.0100        -316.4197    -318.4057       1.9860   295.5
2.0200        -316.4358    -318.9746       2.5388   377.7
2.0300        -316.4513    -318.5239       2.0726   308.3
2.0400        -316.4605    -318.7130       2.2525   335.1
2.0500        -316.4858    -318.5227       2.0369   303.0
2.0600        -316.5008    -318.7988       2.2980   341.9
2.0700        -316.5417    -318.8317       2.2900   340.7
2.0800        -316.5406    -318.4768       1.9362   288.1
2.0900        -316.5448    -318.4018       1.8570   276.3
2.1000        -316.5321    -318.2564       1.7244   256.5
2.1100        -316.5093    -318.5761       2.0668   307.5
2.1200        -316.5050    -318.5570       2.0520   305.3
2.1300        -316.5221    -318.7213       2.1992   327.2
2.1400        -316.5534    -319.1033       2.5499   379.4
2.1500        -316.5975    -319.1539       2.5565   380.3
2.1600        -316.6523    -319.0193       2.3671   352.2
2.1700        -316.6728    -318.9281       2.2553   335.5
2.1800        -316.6777    -318.6087       1.9310   287.3
2.1900        -316.6897    -319.0408       2.3511   349.8
2.2000        -316.7099    -318.8124       2.1026   312.8
2.2100        -316.7252    -318.8467       2.1215   315.6
