pair,distance,rdf
Ca-O,6.9800,0.000000
Ca-O,7.0200,0.000000
Ca-O,7.0600,0.000000
Ca-O,7.1000,0.328442
Ca-O,7.1400,0.000000
Ca-O,7.1800,0.000000
Ca-O,7.2200,0.000000
Ca-O,7.2600,0.000000
Ca-O,7.3000,0.310691
Ca-O,7.3400,0.000000
Ca-O,7.3800,0.000000
Ca-O,7.4200,0.000000
Ca-O,7.4600,0.000000
Ca-O,7.5000,0.000000
Ca-O,7.5400,0.000000
Ca-O,7.5800,0.000000
Ca-O,7.6200,0.000000
Ca-O,7.6600,0.000000
Ca-O,7.7000,0.000000
Ca-O,7.7400,0.000000
Ca-O,7.7800,0.000000
Ca-O,7.8200,0.000000
Ca-O,7.8600,0.000000
Ca-O,7.9000,0.000000
Ca-O,7.9400,0.000000
Ca-O,7.9800,0.000000
Si-O,0.0200,0.000000
Si-O,0.0600,0.000000
Si-O,0.1000,0.000000
Si-O,0.1400,0.000000
Si-O,0.1800,0.000000
Si-O,0.2200,0.000000
Si-O,0.2600,0.000000
Si-O,0.3000,0.000000
Si-O,0.3400,0.000000
Si-O,0.3800,0.000000
Si-O,0.4200,0.000000
Si-O,0.4600,0.000000
Si-O,0.5000,0.000000
Si-O,0.5400,0.000000
Si-O,0.5800,0.000000
Si-O,0.6200,0.000000
Si-O,0.6600,0.000000
Si-O,0.7000,0.000000
Si-O,0.7400,0.000000
Si-O,0.7800,0.000000
Si-O,0.8200,0.000000
Si-O,0.8600,0.000000
Si-O,0.9000,0.000000
Si-O,0.9400,0.000000
Si-O,0.9800,0.000000
Si-O,1.0200,0.000000
Si-O,1.0600,0.000000
Si-O,1.1000,0.000000
Si-O,1.1400,0.000000
Si-O,1.1800,0.000000
Si-O,1.2200,0.000000
Si-O,1.2600,0.000000
Si-O,1.3000,0.000000
Si-O,1.3400,0.000000
Si-O,1.3800,0.000000
Si-O,1.4200,0.000000
Si-O,1.4600,0.000000
Si-O,1.5000,0.000000
Si-O,1.5400,0.000000
Si-O,1.5800,0.000000
Si-O,1.6200,12.617542
Si-O,1.6600,54.075570
Si-O,1.7000,5.728975
Si-O,1.7400,0.000000
Si-O,1.7800,0.000000
Si-O,1.8200,0.000000
Si-O,1.8600,0.000000
Si-O,1.9000,0.000000
Si-O,1.9400,0.000000
Si-O,1.9800,0.000000
Si-O,2.0200,0.000000
Si-O,2.0600,0.000000
Si-O,2.1000,0.000000
Si-O,2.1400,0.000000
Si-O,2.1800,0.000000
Si-O,2.2200,0.000000
Si-O,2.2600,0.000000
Si-O,2.3000,0.000000
Si-O,2.3400,0.000000
Si-O,2.3800,0.000000
Si-O,2.4200,0.000000
Si-O,2.4600,0.000000
Si-O,2.5000,0.000000
Si-O,2.5400,0.000000
Si-O,2.5800,0.000000
Si-O,2.6200,0.000000
Si-O,2.6600,0.000000
Si-O,2.7000,0.000000
Si-O,2.7400,0.000000
Si-O,2.7800,0.000000
Si-O,2.8200,0.000000
Si-O,2.8600,0.000000
Si-O,2.9000,0.000000
Si-O,2.9400,0.000000
Si-O,2.9800,0.000000
Si-O,3.0200,0.000000
Si-O,3.0600,0.000000
Si-O,3.1000,0.000000
Si-O,3.1400,0.000000
Si-O,3.1800,0.000000
Si-O,3.2200,0.000000
Si-O,3.2600,0.000000
Si-O,3.3000,0.000000
Si-O,3.3400,0.000000
Si-O,3.3800,0.000000
Si-O,3.4200,0.000000
Si-O,3.4600,0.000000
Si-O,3.5000,0.000000
Si-O,3.5400,0.000000
Si-O,3.5800,0.000000
Si-O,3.6200,0.000000
Si-O,3.6600,0.000000
Si-O,3.7000,0.000000
Si-O,3.7400,0.000000
Si-O,3.7800,0.000000
Si-O,3.8200,1.134614
Si-O,3.8600,0.000000
Si-O,3.9000,0.000000
Si-O,3.9400,1.066553
Si-O,3.9800,0.000000
Si-O,4.0200,0.000000
Si-O,4.0600,1.004437
Si-O,4.1000,0.984934
Si-O,4.1400,0.965993
Si-O,4.1800,0.000000
Si-O,4.2200,0.000000
Si-O,4.2600,0.000000
Si-O,4.3000,0.000000
Si-O,4.3400,0.000000
Si-O,4.3800,0.000000
Si-O,4.4200,0.000000
Si-O,4.4600,0.000000
Si-O,4.5000,0.000000
Si-O,4.5400,0.000000
Si-O,4.5800,0.000000
Si-O,4.6200,0.000000
Si-O,4.6600,0.000000
Si-O,4.7000,0.000000
Si-O,4.7400,0.000000
Si-O,4.7800,0.000000
