time_ps,close_pairs,min_distance,mean_distance
0.000000,10,2.974369,4.238553
0.010000,9,2.987723,4.239053
0.020000,8,3.006508,4.142204
0.030000,8,3.013672,4.147487
0.040000,7,3.030305,4.316613
0.050000,8,3.042287,4.315226
0.060000,8,3.038636,4.354481
0.070000,8,3.002064,4.352982
0.080000,8,2.963072,4.350299
0.090000,8,2.968869,4.345483
0.100000,8,2.994067,4.341169
0.110000,7,3.001277,4.451783
0.120000,7,3.018830,4.448634
0.130000,8,3.063645,4.356581
0.140000,8,3.049080,4.351839
0.150000,8,3.061088,4.502329
0.160000,8,3.036843,4.498097
0.170000,10,3.031334,4.492465
0.180000,9,3.017035,4.485400
0.190000,9,2.996537,4.480419
0.200000,9,2.995646,4.480094
0.210000,9,3.013645,4.484875
0.220000,9,3.011004,4.492540
0.230000,9,2.993615,4.335243
0.240000,9,2.988948,4.342455
0.250000,9,2.986258,4.351384
0.260000,9,2.976759,4.332650
0.270000,9,2.977987,4.526468
0.280000,9,2.983920,4.535296
0.290000,10,2.982414,4.545367
0.300000,10,2.980492,4.357677
0.310000,11,2.980755,4.145475
0.320000,11,2.923097,4.257981
0.330000,9,2.873910,4.438396
0.340000,10,2.893994,4.431196
0.350000,10,2.919987,4.426722
0.360000,9,2.942407,4.600957
0.370000,9,3.005804,4.599761
0.380000,8,3.014390,4.601475
0.390000,9,3.056145,4.607676
0.400000,9,3.094055,4.655273
0.410000,9,3.098738,4.539490
0.420000,8,3.073158,4.532392
0.430000,8,3.025945,4.525932
0.440000,8,2.965547,4.520180
0.450000,8,2.938090,4.512271
0.460000,9,2.957985,4.332605
0.470000,9,2.901047,4.328609
0.480000,9,2.887262,4.333494
0.490000,9,2.927082,4.337488
0.500000,9,2.929650,4.336194
0.510000,10,2.930681,4.413608
0.520000,10,2.954730,4.832338
0.530000,9,2.943173,4.592080
0.540000,9,2.869717,4.598671
0.550000,9,2.845940,4.601041
0.560000,8,2.862378,4.602818
0.570000,8,2.835789,4.565274
0.580000,7,2.808043,4.562545
0.590000,9,2.825886,4.380724
0.600000,9,2.822223,4.377159
0.610000,10,2.784836,4.170151
0.620000,9,2.803944,4.374465
0.630000,9,2.863798,4.377091
0.640000,9,2.886503,4.348581
0.650000,9,2.911959,4.350219
0.660000,9,2.965597,4.350526
0.670000,10,2.983291,4.352416
0.680000,10,2.973885,4.354531
0.690000,10,3.004145,4.353955
0.700000,10,3.053326,4.392385
0.710000,10,3.009924,4.348841
0.720000,12,2.960451,4.133523
0.730000,11,2.980917,4.350426
0.740000,11,3.018492,4.350527
0.750000,12,2.939787,4.173000
0.760000,11,2.894756,4.354528
0.770000,11,2.864665,4.358269
0.780000,11,2.817033,4.368062
0.790000,11,2.796767,4.374352
0.800000,12,2.819050,4.373739
0.810000,11,2.816415,4.374605
0.820000,12,2.803951,4.200558
0.830000,11,2.841073,4.201759
0.840000,10,2.894421,4.372581
0.850000,10,2.916779,4.334362
0.860000,9,2.955296,4.416047
0.870000,8,3.000793,4.535899
0.880000,8,2.963610,4.449932
0.890000,9,2.922410,4.235801
0.900000,8,2.911131,4.441342
0.910000,9,2.904315,4.441143
0.920000,8,2.867686,4.470891
0.930000,8,2.893796,4.461995
0.940000,6,2.939313,4.452517
0.950000,6,2.910961,4.447796
0.960000,6,2.862596,4.442817
0.970000,6,2.873895,4.434747
0.980000,6,2.870315,4.434576
0.990000,6,2.802756,4.407396
1.000000,6,2.774443,4.409636
1.010000,7,2.812396,4.405606
1.020000,8,2.810790,4.199254
1.030000,8,2.799245,4.202026
1.040000,8,2.867003,4.206242
1.050000,8,2.958718,4.213572
1.060000,8,2.972514,4.464976
1.070000,8,2.960465,4.747417
1.080000,7,2.954112,4.743511
1.090000,7,3.020794,4.743217
1.100000,7,3.000633,4.745215
1.110000,7,3.002362,4.714549
1.120000,7,3.031836,4.712727
1.130000,8,3.012551,4.313266
1.140000,8,2.996979,4.314355
1.150000,8,3.002051,4.309441
1.160000,9,2.991349,4.146293
1.170000,9,2.966933,4.144963
1.180000,8,2.969857,4.304753
1.190000,8,3.001772,4.299283
1.200000,7,2.971827,4.502994
1.210000,7,2.928638,4.507576
1.220000,8,2.955539,4.509025
1.230000,9,2.979823,4.335717
1.240000,9,2.984020,4.334515
1.250000,9,2.978649,4.336630
1.260000,9,2.945110,4.338232
1.270000,9,2.942127,4.337040
1.280000,9,2.971546,4.334121
1.290000,9,2.884318,4.333645
1.300000,9,2.885103,4.336824
1.310000,10,2.933900,4.158354
1.320000,9,2.979756,4.263713
1.330000,9,3.046585,4.264982
1.340000,9,3.049717,4.267702
1.350000,9,3.078059,4.269449
1.360000,8,3.052805,4.477103
1.370000,8,3.045825,4.481390
1.380000,8,3.019752,4.656369
1.390000,9,2.986453,4.657954
1.400000,8,2.979031,4.657133
1.410000,7,2.986901,4.660349
1.420000,8,2.992173,4.756738
1.430000,9,3.007343,4.637301
1.440000,11,3.038954,4.372397
1.450000,11,3.046932,4.365687
1.460000,11,3.024135,4.360940
1.470000,11,3.072805,4.356433
1.480000,9,3.023255,4.359195
1.490000,9,3.007320,4.372981
1.500000,9,3.033792,4.470248
1.510000,9,3.001002,4.387141
1.520000,9,3.041722,4.313116
1.530000,10,3.036503,4.118861
1.540000,9,3.010636,4.129553
1.550000,7,2.951995,4.495443
1.560000,7,2.909358,4.486127
1.570000,7,2.870354,4.485560
1.580000,7,2.908824,4.741743
1.590000,8,2.972159,4.521711
1.600000,9,3.012174,4.438877
1.610000,9,3.041455,4.523723
1.620000,9,3.097317,4.521792
1.630000,9,3.131053,4.519571
1.640000,10,3.112595,4.439945
1.650000,10,3.103549,4.613164
1.660000,11,3.134115,4.439777
1.670000,11,3.121010,4.438208
1.680000,11,3.067497,4.438513
1.690000,11,3.055006,4.342328
1.700000,9,3.063127,4.335048
1.710000,8,3.027548,4.329549
1.720000,8,2.984950,4.333383
1.730000,9,2.993620,4.133451
1.740000,9,3.008003,4.138577
1.750000,8,2.974997,4.142741
1.760000,8,2.959145,4.259251
1.770000,9,2.949251,4.150861
1.780000,9,2.928093,4.149709
1.790000,9,2.879755,4.145769
1.800000,9,2.934709,4.351499
1.810000,9,3.029926,4.350895
1.820000,11,3.071710,4.348686
1.830000,11,3.033235,4.346443
1.840000,11,3.006784,4.349069
1.850000,11,2.987136,4.382623
1.860000,12,2.948646,4.175353
1.870000,9,2.945190,4.538164
1.880000,8,2.959982,4.741171
1.890000,8,2.922794,4.743699
1.900000,9,2.886260,4.568380
1.910000,9,2.896369,4.566540
1.920000,7,2.911220,4.562797
1.930000,7,2.905971,4.558641
1.940000,7,2.939670,4.552838
1.950000,7,2.991388,4.548371
1.960000,8,2.990364,4.337104
1.970000,9,2.960433,4.339205
1.980000,9,2.921902,4.299611
1.990000,9,2.861985,4.298354
2.000000,9,2.774872,4.130260
2.010000,10,2.712084,4.399620
2.020000,10,2.695968,4.438061
2.030000,11,2.700050,4.393245
2.040000,12,2.742486,4.388642
2.050000,11,2.826071,4.419956
2.060000,10,2.904721,4.419015
2.070000,10,2.958554,4.420034
2.080000,10,3.013570,4.421239
2.090000,10,3.074479,4.421143
2.100000,10,3.043879,4.419102
2.110000,10,3.056523,4.449621
2.120000,9,3.027988,4.450018
2.130000,9,3.006075,4.450358
2.140000,10,3.048030,4.451070
2.150000,10,3.040404,4.452647
2.160000,10,3.007891,4.453862
2.170000,11,2.974141,4.246067
2.180000,11,2.924958,4.245658
2.190000,10,2.876200,4.424578
2.200000,10,2.844086,4.428990
2.210000,9,2.852017,4.464360
2.220000,8,2.880137,4.640591
2.230000,8,2.916193,4.638368
2.240000,8,2.959958,4.647691
2.250000,7,2.952912,4.646547
2.260000,7,2.935456,4.647767
2.270000,8,2.944014,4.458456
2.280000,8,2.955908,4.456731
2.290000,9,2.962819,4.460527
2.300000,9,3.005488,4.463776
2.310000,9,3.028142,4.462983
2.320000,10,3.029361,4.287919
2.330000,9,3.065720,4.436229
2.340000,9,3.062124,4.512401
2.350000,8,3.028958,4.509195
2.360000,7,3.011039,4.675419
2.370000,7,3.009588,4.676994
2.380000,10,3.029998,4.453863
2.390000,10,3.056959,4.448404
2.400000,10,3.027189,4.442656
2.410000,10,3.002296,4.410820
2.420000,10,2.979940,4.410245
2.430000,9,2.952491,4.410727
2.440000,10,2.921491,4.411289
2.450000,10,2.934726,4.412242
2.460000,10,2.978045,4.413851
2.470000,9,2.972897,4.317764
2.480000,9,2.956757,4.316253
2.490000,9,2.965859,4.411231
2.500000,9,2.975961,4.317762
2.510000,10,3.022985,4.321538
2.520000,10,3.035806,4.327301
2.530000,10,2.999042,4.332739
2.540000,8,2.974949,4.131512
2.550000,9,2.992714,4.135831
2.560000,8,3.020989,4.345884
2.570000,9,3.027806,4.341995
2.580000,9,3.047139,4.334200
2.590000,8,3.043088,4.328360
2.600000,10,3.021099,4.326439
2.610000,11,3.042737,4.325670
2.620000,11,3.092201,4.327334
2.630000,10,3.073818,4.599536
2.640000,10,3.072783,4.597237
2.650000,9,3.062733,4.593848
2.660000,9,2.996713,4.589657
2.670000,9,2.926376,4.585309
2.680000,8,2.934350,4.580830
2.690000,8,2.913197,4.577829
2.700000,9,2.913278,4.441500
2.710000,9,2.945623,4.440485
2.720000,9,2.960212,4.441114
2.730000,9,2.961247,4.350354
2.740000,9,2.975596,4.257714
2.750000,9,2.977233,4.260439
2.760000,9,2.950336,4.262673
2.770000,9,2.943866,4.263468
2.780000,9,2.973691,4.246398
2.790000,10,2.939074,4.413035
2.800000,11,2.987603,4.404591
2.810000,9,2.979034,4.424307
2.820000,10,2.983930,4.425737
2.830000,10,2.984971,4.427396
2.840000,10,2.995444,4.429538
2.850000,8,2.965910,4.436791
2.860000,8,2.979913,4.443103
2.870000,8,3.011142,4.440796
2.880000,8,3.029884,4.437729
2.890000,8,2.996183,4.440373
2.900000,9,2.954208,4.418070
2.910000,10,2.928348,4.240751
2.920000,10,2.938922,4.240063
2.930000,10,2.922253,4.033393
2.940000,10,2.944111,4.122157
2.950000,9,2.969729,4.327482
2.960000,9,2.988827,4.326911
2.970000,9,3.001888,4.330731
2.980000,9,2.979505,4.417547
2.990000,10,2.995348,4.416570
3.000000,10,2.918611,4.418048
3.010000,10,2.874960,4.419934
3.020000,9,2.852067,4.457076
3.030000,8,2.815997,4.620010
3.040000,8,2.818495,4.576282
3.050000,8,2.867869,4.571074
3.060000,8,2.886358,4.571112
3.070000,8,2.870641,4.575978
3.080000,8,2.906263,4.487931
3.090000,8,2.974716,4.487358
3.100000,7,2.987574,4.488658
3.110000,8,2.964672,4.491350
3.120000,8,2.982699,4.492322
3.130000,7,2.989015,4.495622
3.140000,7,3.015081,4.502126
3.150000,7,2.960917,4.507286
3.160000,8,2.934766,4.339381
3.170000,8,2.899661,4.361133
3.180000,8,2.846675,4.267060
3.190000,8,2.835968,4.263739
3.200000,8,2.862846,4.261068
3.210000,8,2.873342,4.259226
3.220000,9,2.884760,4.256796
3.230000,9,2.948840,4.253956
3.240000,9,2.993997,4.253679
3.250000,11,2.976399,4.257381
3.260000,12,2.966301,4.262063
3.270000,12,2.983558,4.447580
3.280000,11,2.945151,4.605920
3.290000,11,2.940462,4.602770
3.300000,11,2.957024,4.599738
3.310000,11,2.962524,4.597839
3.320000,10,2.920837,4.494469
3.330000,9,2.920753,4.500427
3.340000,9,2.976002,4.507087
3.350000,9,2.992580,4.511374
3.360000,9,2.988085,4.515709
3.370000,10,3.013714,4.358910
3.380000,9,3.012555,4.359019
3.390000,9,2.968090,4.357412
3.400000,9,2.946363,4.320983
3.410000,9,2.945333,4.316776
3.420000,10,2.903016,4.315917
3.430000,10,2.844627,4.313998
3.440000,9,2.811367,4.475838
3.450000,8,2.767850,4.642474
3.460000,7,2.710603,4.645194
3.470000,7,2.712900,4.644995
3.480000,6,2.761877,4.645113
3.490000,6,2.783934,4.650747
3.500000,7,2.803855,4.448873
3.510000,7,2.843833,4.450277
3.520000,7,2.842924,4.453818
3.530000,7,2.800254,4.529437
3.540000,7,2.802861,4.522666
3.550000,7,2.837475,4.514516
3.560000,7,2.828502,4.513227
3.570000,8,2.808204,4.517495
3.580000,9,2.806027,4.351489
3.590000,10,2.791913,4.357459
3.600000,9,2.767201,4.520003
3.610000,8,2.798693,4.519726
3.620000,8,2.863557,4.512692
3.630000,9,2.877824,4.503877
3.640000,8,2.869441,4.496821
3.650000,8,2.903997,4.491399
3.660000,7,2.940669,4.486987
3.670000,7,2.933074,4.485791
3.680000,7,2.956329,4.487580
3.690000,8,2.987035,4.673640
3.700000,8,2.980030,4.675595
3.710000,8,2.902644,4.678444
3.720000,10,2.881600,4.523499
3.730000,10,2.898812,4.524055
3.740000,9,2.886623,4.524216
3.750000,9,2.868993,4.523994
3.760000,9,2.866075,4.523988
3.770000,10,2.834835,4.491743
3.780000,10,2.760856,4.530632
3.790000,10,2.727100,4.540207
3.800000,10,2.769747,4.714584
3.810000,11,2.816950,4.712098
3.820000,9,2.804307,4.707631
3.830000,9,2.773444,4.700790
3.840000,8,2.771994,4.689733
3.850000,8,2.771820,4.678216
3.860000,8,2.754467,4.671047
3.870000,9,2.764192,4.481850
3.880000,9,2.790891,4.481770
3.890000,8,2.779788,4.484646
3.900000,6,2.733366,4.402028
3.910000,7,2.709314,4.406357
3.920000,8,2.723575,4.414645
3.930000,8,2.742491,4.426693
3.940000,8,2.771833,4.674153
3.950000,7,2.824019,4.674322
3.960000,7,2.858720,4.673668
3.970000,7,2.855640,4.673680
3.980000,7,2.862395,4.672756
3.990000,8,2.884882,4.670156
4.000000,9,2.896494,4.504344
4.010000,9,2.879603,4.499223
4.020000,9,2.845197,4.491365
4.030000,7,2.827361,4.449222
4.040000,8,2.811969,4.441265
4.050000,8,2.817697,4.438627
4.060000,8,2.869424,4.440771
4.070000,9,2.928679,4.444325
4.080000,9,2.949206,4.446862
4.090000,9,2.965543,4.449075
4.100000,8,2.966203,4.451685
4.110000,8,2.960839,4.474208
4.120000,8,2.965423,4.473377
4.130000,8,2.964419,4.474389
4.140000,8,2.970321,4.477767
4.150000,9,2.976777,4.483417
4.160000,8,2.899875,4.488687
4.170000,8,2.847000,4.491899
4.180000,7,2.804510,4.647914
4.190000,7,2.740323,4.652352
4.200000,7,2.677273,4.657962
4.210000,9,2.639710,4.456543
4.220000,9,2.633380,4.461485
4.230000,9,2.686265,4.430439
4.240000,8,2.798036,4.633721
4.250000,6,2.903092,4.629525
4.260000,6,2.955226,4.659365
4.270000,7,2.972265,4.689913
4.280000,7,2.963540,4.688869
4.290000,7,2.928447,4.691140
4.300000,7,2.909591,4.695287
4.310000,7,2.927501,4.701715
4.320000,7,2.929690,4.710940
4.330000,7,2.868016,4.525785
4.340000,7,2.791665,4.534761
4.350000,6,2.759056,4.542543
4.360000,6,2.761819,4.544224
4.370000,5,2.769989,4.542673
4.380000,5,2.800117,4.542040
4.390000,6,2.839739,4.541558
4.400000,7,2.852692,4.540513
4.410000,6,2.826790,4.542585
4.420000,7,2.837521,4.389483
4.430000,8,2.905197,4.394664
4.440000,8,2.883476,4.399050
4.450000,9,2.898336,4.547339
4.460000,8,2.947988,4.706876
4.470000,7,3.009712,4.702045
4.480000,7,3.023022,4.691733
4.490000,6,2.931455,4.649670
4.500000,7,2.887618,4.636092
4.510000,6,2.883958,4.623631
4.520000,7,2.838310,4.784605
4.530000,7,2.748501,4.783592
4.540000,7,2.721733,4.786567
4.550000,7,2.765788,4.790030
4.560000,7,2.797571,4.796051
4.570000,8,2.825545,4.621672
4.580000,8,2.898512,4.628523
4.590000,8,2.972532,4.660723
4.600000,8,2.962302,4.668610
4.610000,8,2.918567,4.675066
4.620000,7,2.942135,4.676160
4.630000,7,2.948294,4.672667
4.640000,7,2.931699,4.669237
4.650000,8,2.881117,4.507384
4.660000,9,2.896651,4.504047
4.670000,9,2.952967,4.361272
4.680000,8,2.968073,4.367776
4.690000,8,2.990771,4.374661
4.700000,7,3.055016,4.535414
4.710000,7,3.075724,4.538812
4.720000,6,3.014740,4.703831
4.730000,6,2.978667,4.698241
4.740000,6,2.981905,4.687074
4.750000,6,2.950917,4.674918
4.760000,6,2.896608,4.663701
4.770000,7,2.869827,4.485364
4.780000,7,2.861591,4.453778
4.790000,9,2.846468,4.286149
4.800000,9,2.842833,4.286084
4.810000,9,2.865913,4.452833
4.820000,9,2.863354,4.464678
4.830000,9,2.818718,4.481394
4.840000,9,2.793225,4.501389
4.850000,9,2.784672,4.517876
4.860000,8,2.727206,4.527116
4.870000,9,2.668130,4.261973
4.880000,7,2.696972,4.697898
4.890000,8,2.750837,4.693839
4.900000,9,2.744189,4.414317
4.910000,10,2.746258,4.198322
4.920000,10,2.784769,4.209019
4.930000,9,2.767579,4.206181
4.940000,9,2.730638,4.207416
4.950000,9,2.747505,4.209639
4.960000,6,2.778282,4.417338
4.970000,5,2.744383,4.587341
4.980000,5,2.728728,4.589510
4.990000,5,2.789279,4.590160
5.000000,6,2.833773,4.424755
5.010000,6,2.856407,4.510731
5.020000,6,2.915259,4.511663
5.030000,6,2.970106,4.511312
5.040000,7,2.941220,4.515140
5.050000,7,2.895060,4.522408
5.060000,8,2.896295,4.529222
5.070000,8,2.880031,4.732235
5.080000,9,2.830595,4.584882
5.090000,9,2.847223,4.566810
5.100000,8,2.916404,4.735584
5.110000,7,2.936557,4.884463
5.120000,7,2.931217,4.326099
5.130000,8,2.973311,4.322158
5.140000,10,3.031590,4.318343
5.150000,12,3.018225,4.340862
5.160000,11,3.000948,4.335931
5.170000,9,3.036416,4.488873
5.180000,10,2.968405,4.488167
5.190000,9,2.925568,4.494974
5.200000,7,2.882568,4.708308
5.210000,7,2.832116,4.710305
5.220000,8,2.860326,4.714192
5.230000,7,2.851204,4.716893
5.240000,7,2.824529,4.712091
5.250000,6,2.827707,4.703237
5.260000,6,2.809063,4.697221
5.270000,6,2.784780,4.694154
5.280000,6,2.822426,4.690668
5.290000,8,2.879556,4.500867
5.300000,9,2.896422,4.700902
5.310000,9,2.968026,4.706991
5.320000,8,2.952314,4.877995
5.330000,7,2.934324,4.885883
5.340000,8,2.956360,4.735386
5.350000,7,2.992175,4.734992
5.360000,6,2.953338,4.734490
5.370000,6,2.918382,4.736700
5.380000,5,2.842327,4.894168
5.390000,6,2.815010,4.886452
5.400000,6,2.763879,4.711434
5.410000,7,2.691429,4.536758
5.420000,7,2.704475,4.521634
5.430000,8,2.746897,4.509990
5.440000,9,2.755085,4.347962
5.450000,10,2.814001,4.336182
5.460000,9,2.915751,4.480372
5.470000,9,2.951498,4.482446
5.480000,8,2.950362,4.491059
5.490000,8,2.998454,4.498314
5.500000,8,2.965966,4.509433
5.510000,8,2.984808,4.525588
5.520000,8,2.962076,4.536672
5.530000,8,2.969822,4.538855
5.540000,8,2.949006,4.730689
5.550000,9,2.895394,4.729957
5.560000,9,2.888980,4.729699
5.570000,8,2.910017,4.868781
5.580000,8,2.854021,4.865826
5.590000,9,2.777080,4.663288
5.600000,7,2.757276,4.664510
5.610000,7,2.740213,4.659461
5.620000,8,2.720145,4.657950
5.630000,9,2.783829,4.654629
5.640000,8,2.882279,4.652348
5.650000,7,2.916743,4.655445
5.660000,6,2.935309,4.659576
5.670000,6,2.986458,4.661420
5.680000,7,3.016755,4.517965
5.690000,8,3.003021,4.517840
5.700000,7,2.983066,4.678329
5.710000,7,2.986072,4.671673
5.720000,7,3.032227,4.672190
5.730000,7,3.028389,4.678489
5.740000,7,2.980554,4.684267
5.750000,8,2.918922,4.529836
5.760000,8,2.857650,4.538627
5.770000,7,2.842857,4.385556
5.780000,9,2.851076,4.177298
5.790000,9,2.818945,4.179745
5.800000,8,2.772459,4.189702
5.810000,8,2.761388,4.197352
5.820000,7,2.774100,4.404567
5.830000,8,2.811324,4.401331
5.840000,7,2.885406,4.544998
5.850000,7,2.944375,4.703216
5.860000,7,2.932677,4.693124
5.870000,7,2.880287,4.686016
5.880000,7,2.832512,4.682461
5.890000,7,2.802176,4.871626
5.900000,7,2.786960,4.652720
5.910000,7,2.815341,4.648307
5.920000,8,2.886683,4.647951
5.930000,8,2.914746,4.840607
5.940000,7,2.882114,4.677167
5.950000,8,2.879713,4.507449
5.960000,8,2.900893,4.513497
5.970000,8,2.902020,4.522898
5.980000,9,2.912156,4.372318
5.990000,9,2.948597,4.380336
6.000000,8,2.951409,4.565092
6.010000,8,2.905181,4.573006
6.020000,8,2.892322,4.571874
6.030000,8,2.893847,4.567851
