time_ps,ca_o_distance
0.000000,2.576793
0.001000,2.702986
0.002000,2.728322
0.003000,2.710559
0.004000,2.694458
0.005000,2.703506
0.006000,2.691577
0.007000,2.626584
0.008000,2.583743
0.009000,2.656162
0.010000,2.642232
0.011000,2.611620
0.012000,2.612518
0.013000,2.667395
0.014000,2.622051
0.015000,2.649884
0.016000,2.616052
0.017000,2.638309
0.018000,2.632516
0.019000,2.594093
0.020000,2.574739
